raw_location,location_id,location_name
HURLEY HOUSE,10,HURLEY HOUSE
ED HURLEYS HOUSE,10,HURLEY HOUSE
ED HURLEY'S HOUSE,10,HURLEY HOUSE
ED HURLEY'S GAS FARM,10,HURLEY HOUSE
BIG ED'S GAS FARM,10,HURLEY HOUSE
GAS FARM GARAGE,10,HURLEY HOUSE
ED HURLEY'S LIVING ROOM,10,HURLEY HOUSE
HURLEY HOUSE - LIVING ROOM,10,HURLEY HOUSE
HAYWARD HOUSE,11,HAYWARD HOUSE
DONNA HAYWARD'S BEDROOM,11,HAYWARD HOUSE
HAYWARD LIVING ROOM,11,HAYWARD HOUSE
HAYWARD HOUSE LIVING ROOM,11,HAYWARD HOUSE
HAYWARD'S DINING ROOM,11,HAYWARD HOUSE
HAYWARD'S HOUSE,11,HAYWARD HOUSE
HAYWARD HOUSE CORRIDOR,11,HAYWARD HOUSE
HAYWARD'S LIVING ROOM.,11,HAYWARD HOUSE
"HAYWARD HOUSE, ATTIC",11,HAYWARD HOUSE
TWIN PEAKS HIGH SCHOOL,12,HIGH SCHOOL
INT. TWIN PEAKS HIGH SCHOOL GIRLS' ROOM,12,HIGH SCHOOL
HIGH SCHOOL,12,HIGH SCHOOL
HIGH SCHOOL GYM,12,HIGH SCHOOL
HIGH SCHOOL CORRIDOR,12,HIGH SCHOOL
"MARSH HOUSE, JAMES' ROOM",13,MARSH ESTATE
EVELYN'S GARAGE,13,MARSH ESTATE
MARSH GARAGE,13,MARSH ESTATE
MARSH GARAGE APARTMENT,13,MARSH ESTATE
MARSH ESTATE,13,MARSH ESTATE
EXT. MARSH ESTATE,13,MARSH ESTATE
"JAMES ROOM, MARSH ESTATE",13,MARSH ESTATE
JAMES ROOM - MARSH ESTATE,13,MARSH ESTATE
MARSH HOUSE,13,MARSH ESTATE
"MARSH HOUSE, VESTIBULE IN FRONT OF THE STAIRS",13,MARSH ESTATE
RED-DRAPED ROOM,14,BLACK LODGE
CALHOUN MEMORIAL HOSPITAL,15,HOSPITAL
HOSPITAL CORRIDOR,15,HOSPITAL
CALHOUN HOSPITAL,15,HOSPITAL
HOSPITAL,15,HOSPITAL
HOSPITAL BASEMENT BOILER ROOM,15,HOSPITAL
CALHOUN HOSPITAL INTENSIVE CARE,15,HOSPITAL
HOSPITAL ROOM,15,HOSPITAL
INTENSIVE HOSPITAL ROOM,15,HOSPITAL
RONETTE PULASKI'S HOSPITAL ROOM,15,HOSPITAL
TWIN PEAKS HOSPITAL,15,HOSPITAL
JOHNSON HOUSE,16,JOHNSON HOUSE
JOHNSON KITCHEN,16,JOHNSON HOUSE
JOHNSON HOUSE/INT. NORMA'S CAR,16,JOHNSON HOUSE
JOHNSON HOUSE LAUNDRY ROOM,16,JOHNSON HOUSE
LEO JOHNSON'S HOUSE,16,JOHNSON HOUSE
JOHNSON HOUSE KITCHEN,16,JOHNSON HOUSE
JOHNSON HOUSE LIVING ROOM,16,JOHNSON HOUSE
JOHNSON'S KITCHEN,16,JOHNSON HOUSE
JOHNSON'S HOUSE KITCHEN,16,JOHNSON HOUSE
LEO JOHNSON'S,16,JOHNSON HOUSE
LEO JOHNSON'S PORCH,16,JOHNSON HOUSE
LEO JOHNSON'S LIVING ROOM,16,JOHNSON HOUSE
LEO'S BACK DOOR,16,JOHNSON HOUSE
LEO'S,16,JOHNSON HOUSE
SMALL PLEASANT MOTEL ROOM,17,MOTEL
MOTEL ROOM,17,MOTEL
TIMER FALLS MOTEL,17,MOTEL
MOTEL,17,MOTEL
MOTEL ROOM B,17,MOTEL
TIMBER ROOM ENTRANCE,17,MOTEL
