raw_location,location_id,location_name
GREAT NORTHERN DINING ROOM,5,GREAT NORTHERN
GREAT NORTHERN ELEVATOR,5,GREAT NORTHERN
GREAT NORTHERN HALL/LOBBY,5,GREAT NORTHERN
GREAT NORTHERN HOTEL,5,GREAT NORTHERN
GREAT NORTHERN HOTEL ,5,GREAT NORTHERN
GREAT NORTHERN HOTEL AND WATERFALL,5,GREAT NORTHERN
GREAT NORTHERN HOTEL BAR,5,GREAT NORTHERN
GREAT NORTHERN HOTEL CORRIDOR,5,GREAT NORTHERN
GREAT NORTHERN HOTEL DINING ROOM,5,GREAT NORTHERN
GREAT NORTHERN HOTEL LOBBY,5,GREAT NORTHERN
GREAT NORTHERN HOTEL OFFICE,5,GREAT NORTHERN
GREAT NORTHERN HOTEL PRIVATE QUARTERS,5,GREAT NORTHERN
GREAT NORTHERN HOTEL ROOM,5,GREAT NORTHERN
"GREAT NORTHERN HOTEL, THOMAS ECKHARDT'S ROOM",5,GREAT NORTHERN
GREAT NORTHERN LOBBY,5,GREAT NORTHERN
GREAT NORTHERN LOBBY/CORRIDOR,5,GREAT NORTHERN
GREAT NORTHERN ROOM,5,GREAT NORTHERN
GREAT NORTHERN/COOPER'S ROOM,5,GREAT NORTHERN
GREENHOUSE,6,HAROLD SMITH HOUSE
HALLWAY,5,GREAT NORTHERN
HALLWAY GREAT NORTHERN,5,GREAT NORTHERN
HALLWAY OUTSIDE THE ROOM,5,GREAT NORTHERN
HARDWARE STORE,31,HARDWARE STORE
HAROLD SMITH'S APARTMENT,6,HAROLD SMITH HOUSE
HAROLD SMITH'S GREENHOUSE,6,HAROLD SMITH HOUSE
HAROLD SMITH'S HOUSE,6,HAROLD SMITH HOUSE
HAROLD SMITH'S LIVING ROOM,6,HAROLD SMITH HOUSE
HARRY TRUMAN'S,28,TRUMAN HOUSE
HARRY TRUMAN'S LOG CABIN HOUSE,28,TRUMAN HOUSE
HAYWARD HOUSE,11,HAYWARD HOUSE
HAYWARD HOUSE CORRIDOR,11,HAYWARD HOUSE
HAYWARD HOUSE LIVING ROOM,11,HAYWARD HOUSE
"HAYWARD HOUSE, ATTIC",11,HAYWARD HOUSE
